id,name,parent_id,geo_type,latitude,longitude
773,Methuen,massachusetts,City,42.7262016,-71.1908924
774,Covina,california,City,34.0900091,-117.8903397
775,Alexandria,louisiana,City,31.3112936,-92.4451371
776,Olympia,washington,City,47.0378741,-122.9006951
777,Euclid,ohio,City,41.5931049,-81.5267873
778,Mishawaka,indiana,City,41.6619927,-86.1586156
779,Salina,kansas,City,38.8402805,-97.6114237
780,Azusa,california,City,34.1336186,-117.9075627
781,Newark,ohio,City,40.0581205,-82.4012642
782,Chesterfield,missouri,City,38.6631083,-90.5770675
783,Leesburg,virginia,City,39.1156615,-77.5636015
784,Dunwoody,georgia,City,33.9462125,-84.3346473
785,Hattiesburg,mississippi,City,31.3271189,-89.2903392
786,Roseville,michigan,City,42.4972583,-82.9371409
787,Bonita Springs,florida,City,26.339806,-81.7786972
788,Portage,michigan,City,42.2011538,-85.5800022
789,St. Louis Park,minnesota,City,44.9597376,-93.3702186
790,Collierville,tennessee,City,35.042036,-89.6645266
791,Middletown,connecticut,City,41.5623209,-72.6506488
792,Stillwater,oklahoma,City,36.1156071,-97.0583681
793,East Providence,rhode island,City,41.8137116,-71.3700545
794,Lawrence,indiana,City,39.8386516,-86.0252612
795,Wauwatosa,wisconsin,City,43.0494572,-88.0075875
796,Mentor,ohio,City,41.6661573,-81.339552
797,Ceres,california,City,37.5949316,-120.9577098
798,Cedar Hill,texas,City,32.5884689,-96.9561152
799,Mansfield,ohio,City,40.75839,-82.5154471
800,Binghamton,new york,City,42.0986867,-75.9179738
801,Coeur d'Alene,idaho,City,47.6776832,-116.7804664
802,San Luis Obispo,california,City,35.2827524,-120.6596156
803,Minot,north dakota,City,48.2329668,-101.2922906
804,Palm Springs,california,City,33.8302961,-116.5452921
805,Pine Bluff,arkansas,City,34.2284312,-92.0031955
806,Texas City,texas,City,29.383845,-94.9027002
807,Summerville,south carolina,City,33.0185039,-80.1756481
808,Twin Falls,idaho,City,42.5629668,-114.4608711
809,Jeffersonville,indiana,City,38.2775702,-85.7371847
810,San Jacinto,california,City,33.7839084,-116.958635
811,Madison,alabama,City,34.6992579,-86.7483318
812,Altoona,pennsylvania,City,40.5186809,-78.3947359
813,Columbus,indiana,City,39.2014404,-85.9213796
814,Beavercreek,ohio,City,39.7092262,-84.0632685
815,Apopka,florida,City,28.6934076,-81.5322149
816,Elmhurst,illinois,City,41.8994744,-87.9403418
817,Maricopa,arizona,City,33.0581063,-112.0476423
818,Farmington,new mexico,City,36.7280583,-108.2186856
819,Glenview,illinois,City,42.0697509,-87.7878408
820,Cleveland Heights,ohio,City,41.5200518,-81.556235
821,Draper,utah,City,40.5246711,-111.8638226
822,Lincoln,california,City,38.891565,-121.2930079
823,Sierra Vista,arizona,City,31.5455001,-110.2772856
824,Lacey,washington,City,47.0342629,-122.8231915
825,Biloxi,mississippi,City,30.3960318,-88.8853078
826,Strongsville,ohio,City,41.3144966,-81.83569
827,Barnstable Town,massachusetts,City,41.7003208,-70.3002024
828,Wylie,texas,City,33.0151201,-96.5388789
829,Sayreville,new jersey,City,40.4594021,-74.360846
830,Kannapolis,north carolina,City,35.4873613,-80.6217341
831,Charlottesville,virginia,City,38.0293059,-78.4766781
832,Littleton,colorado,City,39.613321,-105.0166498
833,Titusville,florida,City,28.6122187,-80.8075537
834,Hackensack,new jersey,City,40.8859325,-74.0434736
835,Newark,california,City,37.5296593,-122.0402399
836,Pittsfield,massachusetts,City,42.4500845,-73.2453824
837,York,pennsylvania,City,39.9625984,-76.727745
838,Lombard,illinois,City,41.8800296,-88.0078435
839,Attleboro,massachusetts,City,41.9445441,-71.2856082
840,DeKalb,illinois,City,41.9294736,-88.7503647
841,Blacksburg,virginia,City,37.2295733,-80.4139393
842,Dublin,ohio,City,40.0992294,-83.1140771
843,Haltom City,texas,City,32.7995738,-97.2691817
844,Lompoc,california,City,34.6391501,-120.4579409
845,El Centro,california,City,32.792,-115.5630514
846,Danville,california,City,37.8215929,-121.9999606
847,Jefferson City,missouri,City,38.5767017,-92.1735164
848,Cutler Bay,florida,City,25.5808323,-80.3468593
849,Oakland Park,florida,City,26.1723065,-80.1319893
850,North Miami Beach,florida,City,25.9331488,-80.1625463
851,Freeport,new york,City,40.6576022,-73.5831835
852,Moline,illinois,City,41.5067003,-90.5151342
853,Coachella,california,City,33.6803003,-116.173894
854,Fort Pierce,florida,City,27.4467056,-80.3256056
855,Smyrna,tennessee,City,35.9828412,-86.5186045
856,Bountiful,utah,City,40.8893895,-111.880771
857,Fond du Lac,wisconsin,City,43.7730448,-88.4470508
858,Everett,massachusetts,City,42.40843,-71.0536625
859,Danville,virginia,City,36.5859718,-79.3950228
860,Keller,texas,City,32.9341893,-97.229298
861,Belleville,illinois,City,38.5200504,-89.9839935
862,Bell Gardens,california,City,33.9652918,-118.1514588
863,Cleveland,tennessee,City,35.1595182,-84.8766115
864,North Lauderdale,florida,City,26.217305,-80.2258811
865,Fairfield,ohio,City,39.3454673,-84.5603187
866,Salem,massachusetts,City,42.51954,-70.8967155
867,Rancho Palos Verdes,california,City,33.7444613,-118.3870173
868,San Bruno,california,City,37.6304904,-122.4110835
869,Concord,new hampshire,City,43.2081366,-71.5375718
870,Burlington,vermont,City,44.4758825,-73.212072
871,Apex,north carolina,City,35.732652,-78.8502856
872,Midland,michigan,City,43.6155825,-84.2472116
873,Altamonte Springs,florida,City,28.6611089,-81.3656242
874,Hutchinson,kansas,City,38.0608445,-97.9297743
875,Buffalo Grove,illinois,City,42.1662831,-87.9631308
876,Urbandale,iowa,City,41.6266555,-93.7121656
877,State College,pennsylvania,City,40.7933949,-77.8600012
878,Urbana,illinois,City,40.1105875,-88.2072697
879,Plainfield,illinois,City,41.632223,-88.2120315
880,Manassas,virginia,City,38.7509488,-77.4752667
881,Bartlett,illinois,City,41.9950276,-88.1856301
882,Kearny,new jersey,City,40.7684342,-74.1454214
883,Oro Valley,arizona,City,32.3909071,-110.966488
884,Findlay,ohio,City,41.04422,-83.6499321
885,Rohnert Park,california,City,38.3396367,-122.7010984
886,Linden,new jersey,City,40.6220478,-74.2445902
887,Westfield,massachusetts,City,42.1250929,-72.749538
888,Sumter,south carolina,City,33.9204354,-80.3414693
889,Wilkes-Barre,pennsylvania,City,41.2459149,-75.8813075
